State,District,Crop,Season,Irrigation_Type,Total_Water_Footprint(L_per_kg),Category
Maharashtra,Nagpur,Wheat,Kharif,Drip,1502.03,Medium
Maharashtra,Chandrapur,Rice,Zaid,Well,4973.92,High
Maharashtra,Pune,Jowar,Rabi,Well,645.29,Low
Maharashtra,Ahmednagar,Banana,Rabi,Rainfed,2942.27,Medium
Maharashtra,Nashik,Wheat,Zaid,Rainfed,1533.42,Medium
Maharashtra,Satara,Jowar,Rabi,Drip,369.3,Low
Maharashtra,Satara,Sugarcane,Zaid,Rainfed,2481.4,Medium
Maharashtra,Nashik,Rice,Rabi,Canal,3325.01,High
Maharashtra,Satara,Rice,Rabi,Rainfed,2870.97,Medium
Maharashtra,Nagpur,Maize,Kharif,Drip,643.21,Low
Maharashtra,Satara,Cotton,Kharif,Rainfed,2335.16,Medium
Maharashtra,Satara,Tur,Rabi,Drip,499.69,Low
Maharashtra,Pune,Soybean,Rabi,Well,1681.77,Medium
Maharashtra,Satara,Maize,Zaid,Rainfed,589.95,Low
Maharashtra,Nagpur,Sugarcane,Kharif,Rainfed,3284.06,High
Maharashtra,Nashik,Tur,Kharif,Canal,646.85,Low
Maharashtra,Kolhapur,Wheat,Kharif,Well,1988.87,Medium
Maharashtra,Amravati,Tur,Kharif,Well,762.02,Low
Maharashtra,Aurangabad,Rice,Kharif,Canal,4447.25,High
Maharashtra,Nagpur,Groundnut,Rabi,Well,3129.83,High
Maharashtra,Pune,Tur,Zaid,Well,767.76,Low
Maharashtra,Aurangabad,Rice,Zaid,Canal,4657.66,High
Maharashtra,Nagpur,Tur,Kharif,Canal,755.25,Low
Maharashtra,Nashik,Soybean,Zaid,Canal,1294.63,Low
Maharashtra,Amravati,Jowar,Kharif,Well,729.21,Low
Maharashtra,Nagpur,Sugarcane,Zaid,Canal,3952.51,High
Maharashtra,Chandrapur,Soybean,Zaid,Rainfed,1411.47,Low
Maharashtra,Pune,Wheat,Zaid,Rainfed,1480.44,Low
Maharashtra,Satara,Sugarcane,Rabi,Well,3394.49,High
Maharashtra,Amravati,Groundnut,Kharif,Well,3134.39,High
Maharashtra,Nashik,Soybean,Rabi,Well,1421.3,Low
Maharashtra,Chandrapur,Maize,Kharif,Well,1023.62,Low
Maharashtra,Amravati,Jowar,Kharif,Canal,650.34,Low
Maharashtra,Kolhapur,Sugarcane,Kharif,Rainfed,2529.15,Medium
Maharashtra,Pune,Cotton,Kharif,Rainfed,2449.2,Medium
Maharashtra,Kolhapur,Jowar,Zaid,Well,574.98,Low
Maharashtra,Solapur,Cotton,Kharif,Drip,2645.6,Medium
Maharashtra,Aurangabad,Banana,Rabi,Canal,4108.53,High
Maharashtra,Aurangabad,Banana,Kharif,Canal,3725.52,High
Maharashtra,Nagpur,Sugarcane,Kharif,Rainfed,3251.1,High
Maharashtra,Aurangabad,Jowar,Rabi,Rainfed,548.47,Low
Maharashtra,Satara,Sugarcane,Rabi,Canal,3400.98,High
Maharashtra,Nagpur,Groundnut,Rabi,Rainfed,2094.32,Medium
Maharashtra,Nagpur,Wheat,Kharif,Canal,2272.71,Medium
Maharashtra,Solapur,Tur,Rabi,Canal,764.85,Low
Maharashtra,Nagpur,Rice,Kharif,Well,5134.56,High
Maharashtra,Aurangabad,Banana,Rabi,Rainfed,2780.21,Medium
Maharashtra,Pune,Tur,Zaid,Rainfed,513.11,Low
Maharashtra,Aurangabad,Groundnut,Rabi,Drip,2047.12,Medium
Maharashtra,Ahmednagar,Jowar,Rabi,Rainfed,472.39,Low
Maharashtra,Aurangabad,Cotton,Rabi,Rainfed,2873.91,Medium
Maharashtra,Ahmednagar,Groundnut,Rabi,Drip,1915.73,Medium
Maharashtra,Solapur,Banana,Zaid,Drip,2899.82,Medium
Maharashtra,Aurangabad,Jowar,Rabi,Well,716.1,Low
Maharashtra,Ahmednagar,Rice,Kharif,Canal,4172.74,High
Maharashtra,Solapur,Sugarcane,Kharif,Canal,4526.82,High
Maharashtra,Nashik,Groundnut,Kharif,Canal,2203.25,Medium
Maharashtra,Chandrapur,Soybean,Rabi,Well,1907.27,Medium
Maharashtra,Amravati,Maize,Kharif,Rainfed,612.38,Low
Maharashtra,Satara,Cotton,Zaid,Rainfed,2470.4,Medium
Maharashtra,Aurangabad,Rice,Kharif,Drip,2981.62,Medium
Maharashtra,Kolhapur,Groundnut,Zaid,Well,2439.78,Medium
Maharashtra,Nashik,Soybean,Zaid,Canal,1461.36,Low
Maharashtra,Aurangabad,Maize,Kharif,Rainfed,731.78,Low
Maharashtra,Nashik,Groundnut,Zaid,Well,2253.7,Medium
Maharashtra,Aurangabad,Rice,Kharif,Canal,4575.7,High
Maharashtra,Nagpur,Soybean,Zaid,Rainfed,1378.93,Low
Maharashtra,Ahmednagar,Jowar,Zaid,Rainfed,473.85,Low
Maharashtra,Ahmednagar,Soybean,Kharif,Canal,1527.75,Medium
Maharashtra,Nashik,Groundnut,Kharif,Well,2618.63,Medium
Maharashtra,Nashik,Rice,Rabi,Rainfed,2707.36,Medium
Maharashtra,Pune,Tur,Kharif,Rainfed,532.03,Low
Maharashtra,Pune,Groundnut,Zaid,Drip,1692.44,Medium
Maharashtra,Ahmednagar,Jowar,Rabi,Canal,625.94,Low
Maharashtra,Nashik,Soybean,Rabi,Drip,1023.11,Low
Maharashtra,Pune,Groundnut,Kharif,Well,2624.43,Medium
Maharashtra,Solapur,Rice,Kharif,Well,5192.76,High
Maharashtra,Kolhapur,Tur,Rabi,Canal,553.7,Low
Maharashtra,Chandrapur,Sugarcane,Zaid,Rainfed,3512.48,High
Maharashtra,Nashik,Jowar,Kharif,Drip,350.23,Low
Maharashtra,Nashik,Wheat,Kharif,Well,2137.01,Medium
Maharashtra,Chandrapur,Sugarcane,Zaid,Drip,3032.41,High
Maharashtra,Nagpur,Soybean,Zaid,Well,1796.84,Medium
Maharashtra,Aurangabad,Rice,Kharif,Drip,3230.73,High
Maharashtra,Ahmednagar,Banana,Zaid,Well,3939.28,High
Maharashtra,Solapur,Rice,Zaid,Rainfed,3508.63,High
Maharashtra,Pune,Jowar,Zaid,Well,724.46,Low
Maharashtra,Chandrapur,Maize,Kharif,Drip,591.38,Low
Maharashtra,Nagpur,Soybean,Kharif,Well,1864.83,Medium
Maharashtra,Nagpur,Jowar,Rabi,Drip,451.46,Low
Maharashtra,Amravati,Tur,Zaid,Well,874.79,Low
Maharashtra,Kolhapur,Jowar,Kharif,Canal,478.35,Low
Maharashtra,Amravati,Groundnut,Rabi,Canal,2627.8,Medium
Maharashtra,Ahmednagar,Tur,Zaid,Well,715.29,Low
Maharashtra,Pune,Maize,Zaid,Canal,726.66,Low
Maharashtra,Kolhapur,Jowar,Zaid,Well,531.4,Low
Maharashtra,Chandrapur,Jowar,Kharif,Canal,673.6,Low
Maharashtra,Nagpur,Soybean,Rabi,Canal,1558.81,Medium
Maharashtra,Nashik,Groundnut,Zaid,Well,2673.82,Medium
Maharashtra,Aurangabad,Jowar,Kharif,Drip,506.89,Low
Maharashtra,Chandrapur,Jowar,Rabi,Canal,637.72,Low
Maharashtra,Nashik,Wheat,Rabi,Rainfed,1432.76,Low
Maharashtra,Nagpur,Groundnut,Zaid,Drip,1763.34,Medium
Maharashtra,Solapur,Soybean,Zaid,Well,2015.48,Medium
Maharashtra,Amravati,Rice,Kharif,Drip,2717.32,Medium
Maharashtra,Amravati,Tur,Kharif,Rainfed,581.26,Low
Maharashtra,Pune,Sugarcane,Rabi,Rainfed,2896.71,Medium
Maharashtra,Chandrapur,Tur,Rabi,Well,815.75,Low
Maharashtra,Nashik,Wheat,Zaid,Canal,1829.2,Medium
Maharashtra,Amravati,Wheat,Rabi,Drip,1481.95,Low
Maharashtra,Pune,Jowar,Kharif,Canal,637.52,Low
Maharashtra,Solapur,Banana,Rabi,Rainfed,3111.86,High
Maharashtra,Nashik,Rice,Zaid,Well,4256.7,High
Maharashtra,Kolhapur,Soybean,Zaid,Rainfed,1052.62,Low
Maharashtra,Chandrapur,Wheat,Zaid,Canal,2431.99,Medium
Maharashtra,Chandrapur,Sugarcane,Rabi,Drip,2805.82,Medium
Maharashtra,Satara,Rice,Zaid,Drip,2759.12,Medium
Maharashtra,Ahmednagar,Tur,Kharif,Well,717.76,Low
Maharashtra,Nashik,Banana,Rabi,Drip,2206.47,Medium
Maharashtra,Solapur,Banana,Rabi,Canal,4126.73,High
Maharashtra,Nagpur,Rice,Rabi,Canal,4749.09,High
Maharashtra,Kolhapur,Soybean,Zaid,Well,1493.03,Low
Maharashtra,Satara,Wheat,Kharif,Canal,1907.02,Medium
Maharashtra,Kolhapur,Groundnut,Zaid,Rainfed,1747.63,Medium
Maharashtra,Satara,Sugarcane,Rabi,Canal,3643.96,High
Maharashtra,Nagpur,Sugarcane,Zaid,Rainfed,2810.02,Medium
